,Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
0,BTC,2014-03-14,124.65499,125.30466,125.75166,123.56349
1,BTC,2014-03-15,126.455,124.65499,126.7585,124.63383
2,BTC,2014-03-16,109.58483,126.455,126.66566,84.32833
3,BTC,2014-03-17,119.67466,109.58483,119.675,108.05816
4,BTC,2014-03-18,122.33866,119.67466,122.93633,119.00566
5,BTC,2014-03-19,121.65533,122.33866,122.85216,121.5545
6,BTC,2014-03-20,122.795,121.65533,122.99166,121.43199
7,BTC,2014-03-21,124.033,122.795,124.64016,122.35066
8,BTC,2014-03-22,125.049,124.033,125.7835,123.59266
9,BTC,2014-03-23,126.96116,125.049,129.01683,124.81966
10,BTC,2014-03-24,126.27966,126.96116,127.43666,125.11383
11,BTC,2014-03-25,126.9275,126.27966,127.0365,124.12966
12,BTC,2014-03-26,127.38333,126.9275,127.8965,126.2765
13,BTC,2014-03-27,136.24199,127.38333,136.24199,127.255
14,BTC,2014-03-28,134.20333,136.24199,136.69216,131.39275
15,BTC,2014-03-29,143.76333,134.20333,144.60483,133.94933
16,BTC,2014-03-30,138.92333,143.76333,146.601,137.01466
17,BTC,2014-03-31,143.95166,138.92333,145.311,138.53966
18,BTC,2014-04-01,153.55183,143.95166,153.6685,143.47949
19,BTC,2014-04-02,161.33883,153.55183,168.07999,153.5135
20,BTC,2014-04-03,165.31499,161.33883,165.3315,160.89666
21,BTC,2014-04-04,178.63333,165.31499,178.71166,164.87149
22,BTC,2014-04-05,189.29716,178.63333,189.82383,178.11399
23,BTC,2014-04-06,201.70166,189.29716,203.34333,186.81683
24,BTC,2014-04-07,181.355,201.70166,202.33316,159.72216
25,BTC,2014-04-08,176.03166,181.355,185.09033,163.56466
26,BTC,2014-04-09,178.6965,176.03166,181.3185,175.74483
27,BTC,2014-04-10,188.15983,178.6965,189.3985,175.9035
28,BTC,2014-04-11,193.75666,188.15983,193.83983,186.88116
29,BTC,2014-04-12,198.4,193.75666,199.41366,192.62716
30,BTC,2014-04-13,197.02499,198.4,199.79333,193.83366
31,BTC,2014-04-14,199.04883,197.02499,199.57,196.02916
32,BTC,2014-04-15,199.93233,199.04883,200.09783,196.49
33,BTC,2014-04-16,201.543,199.93233,202.24116,199.71016
34,BTC,2014-04-17,211.3075,201.543,212.17133,201.296
35,BTC,2014-04-18,226.02,211.3075,228.02833,210.23333
36,BTC,2014-04-19,249.25333,226.02,249.32116,222.84833
37,BTC,2014-04-20,263.32666,249.25333,263.67166,243.95166
38,BTC,2014-04-21,295.48699,263.32666,295.48749,261.45166
39,BTC,2014-04-22,332.10325,295.48699,344.67975,294.48749
40,BTC,2014-04-23,286.8875,332.10325,356.2275,278.25275
41,BTC,2014-04-24,305.97974,286.8875,324.27249,261.70325
42,BTC,2014-04-25,339.137,305.97974,340.795,304.6505
43,BTC,2014-04-26,358.48,339.137,359.94999,337.30775
44,BTC,2014-04-27,403.954,358.48,410.51,351.20999
45,BTC,2014-04-28,410.10375,403.954,416.93975,384.5775
46,BTC,2014-04-29,421.21649,410.10375,428.90425,387.565
47,BTC,2014-04-30,438.29725,421.21649,438.9695,416.1975
48,BTC,2014-05-01,511.6025,438.29725,513.16999,437.13324
49,BTC,2014-05-02,694.65,511.6025,782.82624,492.585
50,BTC,2014-05-03,532.54249,694.65,717.825,395.90624
51,BTC,2014-05-04,575.71599,532.54249,581.11375,429.9815
52,BTC,2014-05-05,682.33,575.71599,706.49725,571.78025
53,BTC,2014-05-06,775.18,682.33,776.6525,652.89599
54,BTC,2014-05-07,747.19374,775.18,824.41525,692.6925
55,BTC,2014-05-08,769.8475,747.19374,788.2475,708.75149
56,BTC,2014-05-09,790.36475,769.8475,794.71424,740.8375
57,BTC,2014-05-10,894.1815,790.36475,905.585,788.19
58,BTC,2014-05-11,935.355,894.1815,966.2525,871.38525
59,BTC,2014-05-12,1069.363,935.355,1085.9466,913.931
60,BTC,2014-05-13,1155.92593,1069.363,1158.49894,1029.22683
61,BTC,2014-05-14,1100.51926,1155.92593,1157.02831,1100.2065
62,BTC,2014-05-15,1020.78966,1100.51926,1100.70754,784.68616
63,BTC,2014-05-16,1029.845,1020.78966,1050.67916,930.95483
64,BTC,2014-05-17,1072.2848,1029.845,1093.83331,1022.177
65,BTC,2014-05-18,1140.33083,1072.2848,1152.29749,1067.87277
66,BTC,2014-05-19,1005.61633,1140.33083,1145.36916,871.3838
67,BTC,2014-05-20,760.43041,1005.61633,1039.55,657.87499
68,BTC,2014-05-21,690.81,760.43041,827.32766,559.08333
69,BTC,2014-05-22,842.83966,690.81,846.85092,683.71342
70,BTC,2014-05-23,917.77599,842.83966,949.68183,810.91748
71,BTC,2014-05-24,968.42866,917.77599,1005.93666,901.68016
72,BTC,2014-05-25,867.29003,968.42866,976.62383,833.22683
73,BTC,2014-05-26,912.23204,867.29003,920.30033,844.4055
74,BTC,2014-05-27,890.81946,912.23204,934.17016,860.44999
75,BTC,2014-05-28,849.9975,890.81946,898.30915,849.25583
76,BTC,2014-05-29,869.95316,849.9975,887.23583,820.43828
77,BTC,2014-05-30,654.80483,869.95316,877.21516,637.15056
78,BTC,2014-05-31,655.06266,654.80483,758.02366,648.62209
79,BTC,2014-06-01,554.69166,655.06266,655.06266,423.497
80,BTC,2014-06-02,694.05883,554.69166,711.3255,546.53966
81,BTC,2014-06-03,650.38965,694.05883,734.23666,599.06131
82,BTC,2014-06-04,596.95883,650.38965,652.8435,581.72816
83,BTC,2014-06-05,648.68316,596.95883,672.59166,595.36595
84,BTC,2014-06-06,672.58116,648.68316,686.3675,633.5431
85,BTC,2014-06-07,660.84333,672.58116,676.614,646.78333
86,BTC,2014-06-08,703.00083,660.84333,721.22498,652.53
87,BTC,2014-06-09,759.01016,703.00083,781.93666,699.07
88,BTC,2014-06-10,735.01166,759.01016,773.90666,724.98666
89,BTC,2014-06-11,718.92623,735.01166,754.83333,706.1025
90,BTC,2014-06-12,753.82022,718.92623,760.6362,714.751
91,BTC,2014-06-13,745.17249,753.82022,764.83,744.7
92,BTC,2014-06-14,769.40783,745.17249,773.959,734.19433
93,BTC,2014-06-15,770.09849,769.40783,775.26333,751.52516
94,BTC,2014-06-16,805.02719,770.09849,827.34166,769.15367
95,BTC,2014-06-17,814.31748,805.02719,840.85833,799.11833
96,BTC,2014-06-18,872.11583,814.31748,874.98,809.71666
97,BTC,2014-06-19,971.65083,872.11583,973.00354,862.25831
98,BTC,2014-06-20,963.46447,971.65083,1024.1666599999999,915.76666
99,BTC,2014-06-21,856.75933,963.46447,971.22516,789.70166
100,BTC,2014-06-22,861.84166,856.75933,887.02916,823.32296
101,BTC,2014-06-23,848.5325,861.84166,881.64166,815.17054
102,BTC,2014-06-24,893.26115,848.5325,903.035,838.57458
103,BTC,2014-06-25,917.69666,893.26115,941.495,877.57666
104,BTC,2014-06-26,874.27168,917.69666,921.71733,858.73833
105,BTC,2014-06-27,864.69888,874.27168,874.27168,822.00333
106,BTC,2014-06-28,854.25666,864.69888,872.11385,840.125
107,BTC,2014-06-29,875.07416,854.25666,889.88519,854.25666
108,BTC,2014-06-30,843.19173,875.07416,880.62999,842.27916
109,BTC,2014-07-01,835.86666,843.19173,855.32827,811.22333
110,BTC,2014-07-02,839.42916,835.86666,851.56666,835.08333
111,BTC,2014-07-03,882.87583,839.42916,886.16166,835.77499
112,BTC,2014-07-04,874.28916,882.87583,883.45166,858.84584
113,BTC,2014-07-05,875.13266,874.28916,877.14065,862.77833
114,BTC,2014-07-06,865.56116,875.13266,875.13266,855.05916
115,BTC,2014-07-07,839.14997,865.56116,867.45964,835.99822
116,BTC,2014-07-08,835.57416,839.14997,839.26,811.64042
117,BTC,2014-07-09,859.12641,835.57416,877.24165,834.72638
118,BTC,2014-07-10,888.08337,859.12641,900.2283,852.74833
119,BTC,2014-07-11,831.53133,888.08337,888.37698,801.03833
120,BTC,2014-07-12,833.89496,831.53133,861.24269,799.18333
121,BTC,2014-07-13,833.87399,833.89496,847.92594,833.25583
122,BTC,2014-07-14,842.48914,833.87399,856.86653,817.05635
123,BTC,2014-07-15,848.36383,842.48914,853.3975,840.53166
124,BTC,2014-07-16,855.7225,848.36383,870.4796,844.35344
125,BTC,2014-07-17,857.03366,855.7225,883.43124,851.30816
126,BTC,2014-07-18,848.70697,857.03366,857.03366,843.73749
127,BTC,2014-07-19,845.28836,848.70697,853.26152,840.72962
128,BTC,2014-07-20,803.75333,845.28836,847.35105,794.63344
129,BTC,2014-07-21,749.43559,803.75333,816.79724,739.61499
130,BTC,2014-07-22,693.66914,749.43559,759.33833,659.83333
131,BTC,2014-07-23,669.86463,693.66914,722.64138,658.87721
132,BTC,2014-07-24,701.44843,669.86463,712.97109,663.74428
133,BTC,2014-07-25,695.3125,701.44843,703.36822,536.55166
134,BTC,2014-07-26,666.7975,695.3125,711.6525,636.23249
135,BTC,2014-07-27,646.615,666.7975,672.9975,634.395
136,BTC,2014-07-28,579.4125,646.615,654.355,533.3125
137,BTC,2014-07-29,642.91,579.4125,697.75,554.075
138,BTC,2014-07-30,657.2725,642.91,658.99749,627.80499
139,BTC,2014-07-31,612.04499,657.2725,658.2725,577.025
140,BTC,2014-08-01,635.99,612.04499,654.75,604.0675
141,BTC,2014-08-02,619.79,635.99,642.37249,608.9425
142,BTC,2014-08-03,620.8425,619.79,626.4225,613.5025
143,BTC,2014-08-04,546.7625,620.8425,621.84,526.0725
144,BTC,2014-08-05,562.535,546.7625,582.24,539.12249
145,BTC,2014-08-06,623.22,562.535,623.22,555.3525
146,BTC,2014-08-07,573.7675,623.22,638.5025,568.5
147,BTC,2014-08-08,502.155,573.7675,584.135,493.8925
148,BTC,2014-08-09,551.6025,502.155,563.54499,419.755
149,BTC,2014-08-10,574.1025,551.6025,600.505,549.98749
150,BTC,2014-08-11,568.2925,574.1025,584.7825,559.2225
151,BTC,2014-08-12,552.73,568.2925,571.7875,536.87
152,BTC,2014-08-13,561.195,552.73,571.0025,549.7825
153,BTC,2014-08-14,568.7,561.195,569.275,551.74749
154,BTC,2014-08-15,667.1475,568.7,682.615,563.3025
155,BTC,2014-08-16,661.84,667.1475,699.05,654.525
156,BTC,2014-08-17,663.0225,661.84,667.3275,644.525
157,BTC,2014-08-18,652.285,663.0225,664.74,645.345
158,BTC,2014-08-19,613.33,652.285,654.98249,612.02
159,BTC,2014-08-20,612.1625,613.33,627.25,601.99249
160,BTC,2014-08-21,638.615,612.1625,645.8825,611.0675
161,BTC,2014-08-22,627.0,638.615,643.5275,611.995
162,BTC,2014-08-23,634.74749,627.0,646.75,616.2725
163,BTC,2014-08-24,632.755,634.74749,640.5375,628.3925
164,BTC,2014-08-25,637.41414,632.755,642.66999,632.315
165,BTC,2014-08-26,629.18751,637.41414,637.75668,625.77166
166,BTC,2014-08-27,633.95333,629.18751,637.0,626.54183
